Date,Temperature,soil moisture,Air moisture,Luminosite
2025-07-04 15:43:38,24.98,14,42.35156,1701
2025-07-04 15:43:41,24.98,14,42.39746,1615
2025-07-04 15:43:45,24.97,14,42.39746,1945
2025-07-04 15:43:48,24.97,14,42.36328,2042
2025-07-04 15:43:51,24.97,15,42.33887,2159
2025-07-04 15:43:54,24.97,13,42.30273,2162
2025-07-04 15:43:57,24.96,13,42.2334,2174
2025-07-04 15:44:00,24.95,14,42.19727,2112
2025-07-04 15:44:03,24.95,13,42.1748,2066
2025-07-04 15:44:07,24.95,13,42.16309,2121
2025-07-04 15:44:10,24.95,15,42.15137,2182
2025-07-04 15:44:13,24.94,13,42.15039,2198
2025-07-04 15:44:16,24.94,14,42.15039,2176
2025-07-04 15:44:19,24.94,14,42.15039,2125
2025-07-04 15:44:22,24.94,14,42.17383,2112
2025-07-04 15:44:25,24.94,14,42.17285,2195
2025-07-04 15:44:28,24.93,14,42.16016,2128
2025-07-04 15:44:32,24.93,15,42.16016,2228
2025-07-04 15:44:35,24.92,13,42.14844,2155
2025-07-04 15:44:38,24.92,13,42.13574,2224
2025-07-04 15:44:42,24.91,14,42.16992,2206
2025-07-04 15:44:45,24.92,13,42.18262,2214
2025-07-04 15:44:48,24.92,13,42.19434,2099
2025-07-04 15:44:51,24.91,14,42.22852,2177
2025-07-04 15:44:54,24.91,13,42.2627,2142
2025-07-04 15:44:57,24.9,14,42.30859,2176
2025-07-04 15:45:00,24.9,13,42.34375,2130
2025-07-04 15:45:03,24.9,14,42.37891,2213
2025-07-04 15:45:06,24.9,14,42.43652,2112
2025-07-04 15:45:09,24.9,14,42.43652,2210
2025-07-04 15:45:12,24.9,13,42.45996,2011
2025-07-04 15:45:15,24.9,13,42.47168,2150
2025-07-04 15:45:19,24.9,18,42.49512,2106
2025-07-04 15:45:22,24.89,13,42.52832,2171
2025-07-04 15:45:25,24.89,14,42.5752,2160
2025-07-04 15:45:28,24.89,13,42.59863,2003
2025-07-04 15:45:31,24.89,14,42.63281,2107
2025-07-04 15:45:34,24.89,13,42.65625,1906
2025-07-04 15:45:38,24.89,14,42.66797,1858
2025-07-04 15:45:41,24.89,14,42.64453,1947
2025-07-04 15:45:44,24.88,14,42.55078,2176
2025-07-04 15:45:47,24.87,14,42.48145,2069
2025-07-04 15:45:50,24.88,14,42.40039,2175
2025-07-04 15:45:54,24.88,14,42.26074,2019
2025-07-04 15:45:57,24.87,13,42.18945,2198
2025-07-04 15:46:00,24.87,13,42.11914,2146
2025-07-04 15:46:03,24.87,14,42.13086,2231
2025-07-04 15:46:06,24.87,13,42.14258,1999
2025-07-04 15:46:09,24.87,14,42.18945,2151
2025-07-04 15:46:12,24.87,14,42.25977,2075
2025-07-04 15:46:15,24.87,14,42.27051,2160
2025-07-04 15:46:18,24.87,14,42.35254,1894
2025-07-04 15:46:21,24.87,15,42.41113,2045
2025-07-04 15:46:24,24.87,13,42.49219,2022
2025-07-04 15:46:27,24.87,14,42.51465,2085
2025-07-04 15:46:30,24.87,14,42.51465,2112
2025-07-04 15:46:34,24.87,14,42.50391,2166
2025-07-04 15:46:37,24.87,14,42.46875,2173
2025-07-04 15:46:40,24.86,13,42.375,2145
2025-07-04 15:46:44,24.86,13,42.32813,2153
2025-07-04 15:46:47,24.87,14,42.23535,2093
2025-07-04 15:46:50,24.86,14,42.20117,2205
2025-07-04 15:46:53,24.87,13,42.16699,2112
2025-07-04 15:46:56,24.86,14,42.12988,2279
2025-07-04 15:46:59,24.86,15,42.11914,2135
2025-07-04 15:47:02,24.86,13,42.0957,1954
2025-07-04 15:47:05,24.87,0,42.10742,1730
2025-07-04 15:47:09,24.87,30,42.15527,2745
2025-07-04 15:47:12,24.88,42,42.20215,0
2025-07-04 15:47:15,24.88,30,42.20215,1678
2025-07-04 15:47:18,24.88,39,42.22559,2202
2025-07-04 15:47:21,24.88,43,42.24902,1653
2025-07-04 15:47:25,24.9,43,42.28516,2446
2025-07-04 15:47:28,24.9,42,42.33203,1338
2025-07-04 15:47:31,24.9,30,42.34375,651
2025-07-04 15:47:35,24.91,40,42.34473,2618
2025-07-04 15:47:38,24.92,40,42.40332,2559
2025-07-04 15:47:41,24.91,41,42.44922,2613
2025-07-04 15:47:45,24.91,30,42.48438,2622
2025-07-04 15:47:48,24.91,40,42.56543,2703
2025-07-04 15:47:51,24.91,41,42.61133,2656
2025-07-04 15:47:54,24.92,41,43.05371,2653
2025-07-04 15:47:57,24.9,0,43.20313,2611
2025-07-04 15:48:00,24.89,10,43.22559,2637
2025-07-04 15:48:03,24.88,48,43.24805,2677
2025-07-04 15:48:06,24.88,4,43.24805,2730
